Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav..Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional.Info,Author,realm,has_fly_speed,has_swim_speed
Ooze;Black Pudding,Large,Ooze,U,7,85,20;climb 20,16,5,16,1,6,1,None,None,Acidimmu;coldimmu;lightningimmu;slashingimmu;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;proneimmu,Blindsight 60,None,4,Amorphous;Corrosive Form;Spider Climb,Monster Manual,NA,Wizards of the Coast,Other,0,0
Ooze;Gelatinous Cube,Large,Ooze,U,6,84,15,14,3,20,1,6,1,None,None,Blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;proneimmu,Blindsight 60,None,2,Ooze Cube;Transparent,Monster Manual,NA,Wizards of the Coast,Other,0,0
Ooze;Gray,Medium,Ooze,U,8,22,10;climb 10,12,6,16,1,6,2,None,Stealth,Acidres;coldres;fireres;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;proneimmu,Blindsight 60,None,0.5,Amorphous;Corrode Metal;False Appearance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Ooze;Ochre Jelly,Large,Ooze,U,8,45,10;climb 10,15,6,14,2,6,1,None,None,Acidres;lightningimmu;slashingimmu;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;proneimmu,Blindsight 60,None,2,Amorphous;Spider Climb,Monster Manual,NA,Wizards of the Coast,Other,0,0
Orc,Medium,Humanoid,CE,13,15,30,16,12,16,7,11,10,None,Intimidation,None,Darkvision 60,Common;Orc,0.5,Aggressive,Monster Manual,NA,Wizards of the Coast,Other,0,0
Orc Blade of Ilneval,Medium,Humanoid (Orc),CE,18,60,30,17,11,17,10,12,14,WIS,Perception;Insight;Intimidation,None,Darkvision 60,Common;Orc,4,Aggressive;Foe Smiter of Ilneval,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Orc Claw of Luthic,Medium,Humanoid (Orc),CE,14,45,30,14,15,16,10,15,11,None,Intimidation;Medicine;Survival,None,Darkvision 60,COmmon;Orc,2,Aggressive;Normal Spellcasting,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Orc Eye of Gruumsh,Medium,Humanoid,CE,16,45,30,16,12,16,9,13,12,None,Intimidation;Religion,None,Darkvision 60,Common;Orc,2,Aggressive;Gruumsh's Fury;Normal Spellcasting,Monster Manual,NA,Wizards of the Coast,Other,0,0
Orc Hand of Yurtrus,Medium,Humanoid (Orc),CE,12,30,30,12,11,16,11,14,9,None,Arcana;Intimidation;Medicine;Religion,None,Darkvision 60,Common;Orc,2,Aggressive;Normal Spellcasting,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Orc Nurtured One of Yurtrus,Medium,Humanoid (Orc),CE,9,30,30,15,8,16,7,11,7,None,None,None,Darkvision 60,Common;Orc,0.5,Aggressive;Corrupted Carrier;Nurtured One of Yurtrus,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Orc Red Fang of Shargaas,Medium,Humanoid (Orc),CE,15,52,30,11,16,15,9,11,9,None,Intimidation;Perception;Stealth,None,Darkvision 60,Common;Orc,3,Cunning Action;Hand of Shargaas;Shargaas' Sight;Slayer,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Orc War Chief,Medium,Humanoid,CE,16,93,30,18,12,18,11,11,16,STR;CON;WIS,Intimidation,None,Darkvision 60,Common;Orc,4,Aggressive;Gruumsh's Fury,Monster Manual,NA,Wizards of the Coast,Other,0,0
Orc;Orog,Medium,Humanoid,CE,18,42,30,18,12,18,12,11,12,None,Intimidation;Survival,None,Darkvision 60,Common;Orc,2,Aggressive,Monster Manual,NA,Wizards of the Coast,Other,0,0
Orc;Tanarukk,Medium,"Fiend (Demon,Orc)",CE,14,95,30,18,13,20,9,9,9,None,Intimidation;Perception,FIreres;poisonres,Darkvision 60,Abyssal;Common;Orc,5,Aggressive;Magic Resistance,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Otyugh,Large,Aberration,N,14,114,30,16,11,19,6,13,6,CON,None,None,Darkvision 120,Own,5,Limited Telepathy,Monster Manual,NA,Wizards of the Coast,Other,0,0
Owlbear,Large,Monstrosity,U,13,59,40,20,12,17,3,12,7,None,Perception,None,Darkvision 60,None,3,Keen Sight;Keen Smell,Monster Manual,NA,Wizards of the Coast,Other,0,0
Pegasus,Large,Celestial,CG,12,59,60;fly 90,18,15,16,10,15,13,DEX;WIS;CHA,Perception,None,Normal,Celestial;Common;Elvish;Sylvan,2,None,Monster Manual,NA,Wizards of the Coast,Astral Plane,1,0
Peryton,Medium,Monstrosity,CE,13,33,20;fly 60,16,12,13,9,12,10,None,Perception,Nonmagicalres,Normal,Common;Elvish,2,Dive Attack;Flyby;Keen Sight;Keen Smell,Monster Manual,NA,Wizards of the Coast,Other,1,0
Phantom Warrior,Medium,Undead,ANY,16,45,30,16,11,16,8,10,15,None,Perception;Stealth,Nonmagicalres;coldimmu;necroticimmu;poisonimmu,Darkvision 60,Any,3,Ethereal Sight;Incorporeal Movement;Spectral Armor and Shield,Curse of Strahd,NA,Wizards of the Coast,Other,0,0
Piercer,Medium,Monstrosity,U,15,22,5;climb 5,10,13,16,1,7,3,None,Stealth,None,Blindsight 30;darkvision 60,None,0.5,False Appearance;Spider Climb,Monster Manual,NA,Wizards of the Coast,Other,0,0
Pixie,Tiny,Fey,NG,15,1,10;fly 30,2,20,8,10,14,15,None,Perception;Stealth,None,Normal,Sylvan,0.25,Magic Resistance;Innate Spellcasting (Psionics),Monster Manual,NA,Wizards of the Coast,Feywild,1,0
Prince of Apocalypse;Imix,Huge,Elemental,NE,17,325,50;fly 50,19,24,22,15,16,23,DEX;CON;CHA,None,Nonmagicalres;fireimmu;poisonimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Blindsight 120,Common;Ignan,19,Empowered Attacks;Fire Aura;Fire Form;Illumination;Legendary Resistance;Innate Spellcasting;Magic Resistance;Lair,Princes of the Apocalypse,NA,Wizards of the Coast,Elemental Plane,1,0
Prince of Apocalypse;Ogremoch,Gargantuan,Elemental,NE,20,526,50;burrow 50,26,11,28,11,15,22,STR;CON;WIS,None,Nonmagicalres;poisonimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu,Blindsight 120;tremorsense 120,Common;Terran,20,Empowered Attacks;Innate Spellcasting;Legendary Resistance;Magic Resistance;Siege Monster;Lair,Princes of the Apocalypse,NA,Wizards of the Coast,Elemental Plane,0,0
Prince of Apocalypse;Olhydra,Huge,Elemental,NE,18,324,50;swim 100,21,22,24,17,18,23,STR;CON;WIS,None,Lightningres;nonmagicalres;acidimmu;coldimmu;poisonimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Blindsight 120,Aquan,18,Empowered Attacks;Innate Spellcasting;Legendary Resistance;Water Form;Lair,Princes of the Apocalypse,NA,Wizards of the Coast,Elemental Plane,0,1
Prince of Apocalypse;Yan-C-BIn,Huge,Elemental,NE,22,283,50;fly 150,18,24,24,16,21,23,DEX;WIS;CHA,None,Coldres;fireres;nonmagicalres;lightningimmu;poisonimmu;thunderimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Blindsight 120,Auran,18,Air Form;Empowered Attacks;Innate Spellcasting;Legendary Resistance;Magic Resistance;Lair,Princes of the Apocalypse,NA,Wizards of the Coast,Elemental Plane,1,0
Pseudodragon,Tiny,Dragon,NG,13,7,15;fly 60,6,15,13,10,12,10,None,Perception;Stealth,None,Blindsight 10;darkvision 60,Common;Draconic,0.25,Keen Senses;Magic Resistance;Limited Telepathy,Monster Manual,NA,Wizards of the Coast,Other,1,0
Pterafolk,Large,Monstrosity,NE,12,26,30;fly 50,15,13,12,9,10,11,None,Perception;Survival,None,Normal,Common,1,Terror Dive,Tomb of Annihilation,NA,Wizards of the Coast,Other,1,0
Purple Worm,Gargantuan,Monstrosity,U,18,247,50;burrow 30,28,7,22,1,8,4,CON;WIS,None,None,Blindsight 30;tremorsense 60,None,15,Tunneler,Monster Manual,NA,Wizards of the Coast,Other,0,0
Purple Worm;Wormling,Large,Monstrosity,U,12,42,20,16,7,16,1,6,2,None,None,None,Blindsight 30;tremorsense 30,None,2,None,Storm King's Thunder,NA,Wizards of the Coast,Other,0,0
Quaggoth,Medium,Humanoid,CN,13,45,30;climb 30,17,12,16,6,12,7,None,Athletics,Poisonimmu;poisonedimmu,Darkvision 120,Undercommon,2,Wounded Fury,Monster Manual,NA,Wizards of the Coast,Other,0,0
Quickling,Tiny,Fey,CE,16,10,120,4,23,13,10,12,7,None,Acrobatics;Sleight of Hand;Stealth;Perception,None,Darkvision 60,Common;Sylvan,1,Blurred Movement;Evasion,Volo's Guide to Monsters,NA,Wizards of the Coast,Feywild,0,0
Rakshasa,Medium,Fiend,LE,16,110,40,14,17,18,13,16,20,None,Deception;Insight,Magicalpiercingweak;nonmagicalres,Darkvision 60,Common;Infernal,13,Limited Magic Immunity;Innate Spellcasting,Monster Manual,NA,Wizards of the Coast,Nine Hells,0,0
Redcap,Small,Fey,CE,13,45,25,18,13,18,10,12,9,None,Athletics;Perception,None,Darkvision 60,Common;Sylvan,3,Iron Boots;Outsize Strength,Volo's Guide to Monsters,NA,Wizards of the Coast,Feywild,0,0
Remorhaz,Huge,Monstrosity,U,17,195,30;burrow 20,24,13,21,4,10,5,None,None,Coldimmu;fireimmu,Darkvision 60;tremorsense 60,None,11,Heated Body,Monster Manual,NA,Wizards of the Coast,Other,0,0
Remorhaz;Young,Large,Monstrosity,U,14,93,30;burrow 20,18,13,17,3,10,4,None,None,Coldimmu;fireimmu,Darkvision 60;tremorsense 60,None,5,Heated Body,Monster Manual,NA,Wizards of the Coast,Other,0,0
Retriever,Large,Construct,LE,19,210,40;climb 40,22,16,20,3,11,4,DEX;CON;WIS,Perception;Stealth,Necroticimmu;poisonimmu;nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu,Blindsight 30;darkvision 60,Abyssal;Elvish;Undercommon,14,Faultless Tracker;Innate Spellcasting,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Revenant,Medium,Undead,N,13,136,30,18,14,18,13,16,18,STR;CON;WIS;CHA,None,Necroticres;psychicres;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu;stunnedimmu,Darkvision 60,Any,5,Regeneration;Rejuvenation;Turn Immunity;Vengeful Tracker,Monster Manual,NA,Wizards of the Coast,Other,0,0
Roc,Gargantuan,Monstrosity,U,15,248,20;fly 120,28,10,20,3,10,9,DEX;CON;WIS;CHA,Perception,None,Normal,None,11,Keen Sight,Monster Manual,NA,Wizards of the Coast,Other,1,0
Roper,Large,Monstrosity,NE,20,93,10;climb 10,18,8,17,7,16,6,None,Perception;Stealth,None,Darkvision 60,None,5,False Appearance;Grasping Tendrils;Spider Climb,Monster Manual,NA,Wizards of the Coast,Other,0,0
Rust Monster,Medium,Monstrosity,U,14,27,40,13,12,13,2,13,6,None,None,None,Darkvision 60,None,0.5,Iron Scent;Rust Metal,Monster Manual,NA,Wizards of the Coast,Other,0,0
Sahuagin,Medium,Humanoid,LE,12,22,30;swim 40,13,11,12,12,13,9,None,Perception,None,Darkvision 120,Own,0.5,Blood Frenzy;Limited Amphibious;Shark Telepathy,Monster Manual,NA,Wizards of the Coast,Other,0,1
Sahuagin Baron,Large,Humanoid,LE,16,76,30;swim 50,19,15,16,14,13,17,DEX;CON;INT;WIS,Perception,None,Darkvision 120,Own,5,Blood Frenzy;Limited Amphibious;Shark Telepathy,Monster Manual,NA,Wizards of the Coast,Other,0,1
Sahuagin Priestess,Medium,Humanoid,LE,12,33,30;swim 40,13,11,12,12,14,13,None,Perception;Religion,None,Darkvision 120,Own,2,Blood Frenzy;Limited Amphibious;Shark Telepathy;Normal Spellcasting,Monster Manual,NA,Wizards of the Coast,Other,0,1
Salamander,Large,Elemental,NE,15,90,30,18,14,15,11,10,12,None,None,Coldweak;nonmagicalres;fireimmu,Darkvision 60,Ignan,5,Heated Body,Monster Manual,NA,Wizards of the Coast,Elemental Plane,0,0
Salamander;Fire Snake,Medium,Elemental,NE,14,22,30,12,14,11,7,10,8,None,None,Coldweak;nonmagicalres;fireimmu,Darkvision 60,Ignan,1,Heated Body;Heated Weapons,Monster Manual,NA,Wizards of the Coast,Elemental Plane,0,0
Salamander;Frost,Huge,Elemental,U,17,168,60;burrow 40;climb 40,20,12,18,7,11,7,CON;WIS,Perception,Fireweak;coldimmu,Darkvision 60;tremorsense 60,Primordial,9,Burning Fury,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,0,0
Satyr,Medium,Fey,CN,14,31,40,12,16,11,12,10,14,None,Perception;Performance;Stealth,None,Normal,Common;Elvish;Sylvan,0.5,Magic Resistance,Monster Manual,NA,Wizards of the Coast,Feywild,0,0
Scarecrow,Medium,Construct,CE,11,36,30,11,13,11,10,10,13,None,None,Fireweak;nonmagicalres;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu;unconsciousimmu,Darkvision 60,Creator,1,False Appearance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Sea Lion,Large,Monstrosity,U,15,90,10;swim 40,17,15,15,3,12,8,None,Perception;Stealth,None,Normal,None,5,Amphibious;Keen Smell;Pack Tactics;Swimming Leap,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,1
Sea Spawn,Medium,Humanoid,NE,11,32,20;swim 30,15,8,15,6,10,8,None,None,None,Darkvision 120,Aquan;Common,1,Limited Amphibiousness,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,1
Shadar-Kai Gloom Weaver,Medium,Humanoid (Elf),N,14,104,30,11,18,14,15,12,18,DEX;CON,None,Necroticimmu;charmedimmu;exhaustionimmu,Darkvision 60,Common;Elvish,9,Burden of Time;Fey Ancestry;Innate Spellcasting;Normal Spellcasting,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Shadar-Kai Shadow Dancer,Medium,Humanoid (Elf),N,15,71,30,12,16,13,11,12,12,DEX;CHA,Stealth,Necroticimmu;charmedimmu;exhaustionimmu,Darkvision 60,Common;Elvish,7,Fey Ancestry;Shadow Jump,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Shadar-Kai Soul Monger,Medium,Humanoid (Elf),N,15,123,30,8,17,14,19,15,13,DEX;WIS;CHA,Perception,Necroticimmu;psychicimmu;charmedimmu;exhaustionimmu;frightenedimmu,Darkvision 60,Common;Elvish,11,Fey Ancestry;Innate Spellcasting;Magic Resistance;Soul Thirst;Weight of Ages,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Shadow,Medium,Undead,CE,12,16,40,6,14,13,6,10,8,None,Stealth,Radiantweak;acidres;coldres;fireres;lightningres;thunderres;nonmagicalres;necroticimmu;poisonimmu;exhaustionimmu;frightenedimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Darkvision 60,None,0.5,Amorphous;Shadow Stealth;Sunlight Weakness,Monster Manual,NA,Wizards of the Coast,Other,0,0
Shadow Dragon Template,VARIES,Dragon,CE,18,TEMP,TEMP,23,10,21,14,11,19,TEMP,TEMP,TEMP,TEMp,TEMp,13,TEMP,Monster Manual,NA,Wizards of the Coast,Other,0,0
Shadow Mastiff,Medium,Monstrosity,NE,12,33,40,16,14,13,5,12,5,None,Perception;Stealth,Nonmagicalres;darknessres,Darkvision 60,None,2,Ethereal Awareness;Keen Hearing;Keen Smell;Shadow Blend;Sunlight Weakness,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Shadow Mastiff Alpha,Medium,Monstrosity,NE,12,48,40,16,14,13,6,12,5,None,Perception;Stealth,Nonmagicalres;darknessres,Darkvision 60,None,2,Ethereal Awareness;Keen Hearing;Keen Smell;Shadow Blend;Sunlight Weakness,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Shambling Mound,Large,Plant,U,15,136,20;swim 20,18,8,16,5,10,5,None,Stealth,Coldres;fireres;lightningimmu;blindedimmu;deafenedimmu;exhaustionimmu,Blindsight 60,None,5,Lightning Absorption,Monster Manual,NA,Wizards of the Coast,Other,0,1
Shield Guardian,Large,Construct,U,17,142,30,18,8,18,7,1,,None,None,Poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu,Blindsight 10;darkvision 60,Any,7,Bound;Regeneration;Spell Storing,Monster Manual,NA,Wizards of the Coast,Other,0,0
Siren,Medium,Fey,CG,14,38,30;swim 30,10,18,12,13,14,16,None,Medicine;Nature;Stealth;Survival,None,Darkvision 60,Common;Elvish;Sylvan,3,Amphibious;INnate Spellcasting;Magic Resistance,Tales from the Yawning Portal,NA,Wizards of the Coast,Feywild,0,1
Skeleton,Medium,Undead,LE,13,13,30,10,14,15,6,8,5,None,None,Bludgeoningweak;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Any,0.25,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Skeleton;Giant,Huge,Undead,NE,17,115,30,21,10,20,4,6,6,None,None,Bludgeoningweak;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Giant,7,Evasion;Magic Resistance;Turn Immunity,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,0
Skeleton;Minotaur,Large,Undead,LE,12,67,40,18,11,15,6,8,5,None,None,Bludgeoningweak;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Abyssal,2,Charge,Monster Manual,NA,Wizards of the Coast,Other,0,0
Skeleton;Warhorse,Large,Undead,LE,13,22,60,18,12,15,2,8,5,None,None,Bludgeoningweak;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,None,0.5,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Skulk,Medium,Humanoid,CN,14,18,30,6,19,10,10,7,1,CON,Stealth,Radiantimmu;blindedimmu,Darkvision 120,Common,0.5,Fallible Invisibility;Trackless,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Skull Lord,Medium,Undead,LE,18,105,30,14,16,17,16,15,21,None,Athletics;History;Perception;Stealth,Coldres;necroticres;nonmagicalres;poisonimmu;blindedimmu;charmedimmu;deafenedimmu;exhuastionimmu;frightenedimmu;poisonedimmu;stunnedimmu;unconsciousimmu,Legendary Resistance;Master of the Grave;Evasion;Normal Spellcasting,Any,15,Legendary Resistance;Master of the Grave;Evasion;Normal Spellcasting,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Slaad Tadpole,Tiny,Aberration,CN,12,10,30,7,15,10,3,5,3,None,Stealth,Acidres;coldres;fireres;lightningres;thunderres,Darkvision 60,Own,0.13,Magic Resistance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slaad;Blue,Large,Aberration,CN,15,123,30,20,15,18,7,7,9,None,Perception,Acidres;coldres;fireres;lightningres;thunderres,Darkvision 60,Own;telepathy 60,7,Magic Resistance;Regeneration,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slaad;Death,Medium,Aberration,CE,18,170,30,20,15,19,15,10,16,None,Arcana;Perception,Acidres;coldres;fireres;lightningres;thunderres,Blindsight 60;darkvision 60,Own;telepathy 60,10,Shapechanger;Innate Spellcasting;Magic Resistance;Magic Weapons;Regeneration,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slaad;Gray,Medium,Aberration,CN,18,127,30,17,17,16,13,8,14,None,Arcana;Perception,Acidres;coldres;fireres;lightningres;thunderres,Blindsight 60;darkvision 60,Own;telepathy 60,9,Shapechanger;Innate Spellcasting;Magic Resistance;Magic Weapons;Regeneration,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slaad;Green,Large,Aberration,CN,16,127,30,18,15,16,11,8,12,None,Arcana;Perception,Acidres;coldres;fireres;lightningres;thunderres,Blindsight 30;darkvision 60,Own;telepathy 60,8,Shapechanger;Innate Spellcasting;Magic Resistance;Regeneration,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slaad;Red,Large,Aberration,CN,14,93,30,16,12,16,6,6,7,None,Perception,Acidres;coldres;fireres;lightningres;thunderres,Darkvision 60,Own;telepathy 60,5,Magic Resistance;Regeneration,Monster Manual,NA,Wizards of the Coast,Other,0,0
Slithering Tracker,Medium,Ooze,CE,14,32,30;climb 30;swim 30,16,19,15,10,14,11,None,Stealth,"COldweak,fireweak;nonmagicalres;blindedimmu;deafenedimmu;exhaustionimmu;grappledimmu;paralyzedimmu;petrifiedimmu;proneimmu;restrainedimmu;unconsciousimmu",Blindsight 120,Any,3,Ambusher;Damage Transfer;False Appearance;Keen Tracker;Liquid Form;Spider Climb;Watery Stealth,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,1
Sorrowsworn;The Angry,Medium,Monstrosity,NE,18,255,30,17,10,19,8,13,6,None,Perception,Darknessres,Darkvision 60,Common,13,Two Heads;Rising Anger,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Sorrowsworn;The Hungry,Medium,Monstrosity,NE,17,225,30,19,10,17,6,11,6,None,None,Darknessres,Darkvision 60,Common,11,Life Hunger,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Sorrowsworn;The Lonely,Medium,Monstrosity,NE,16,112,30,16,12,17,6,11,6,None,None,Darknessres,Darkvision 60,Common,9,Psychic Leech;Thrives on Company,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Sorrowsworn;The Lost,Medium,Monstrosity,NE,15,78,30,17,12,15,6,7,5,None,Athletics,Darknessres,Darkvision 60,Common,7,None,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Sorrowsworn;The Wretched,Small,Monstrosity,NE,15,10,40,7,12,9,5,6,5,None,None,Darknessres,Darkvision 60,None,0.25,Wretched Pack Tactics,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Spawn of Kyuss,Medium,Undead,CE,10,76,30,16,11,18,5,7,3,WIS,None,Poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Any,5,Regeneration;Worms,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Specter,Medium,Undead,CE,12,22,fly 50,1,14,11,10,10,11,None,None,Acidres;coldres;fireres;lightningres;thunderres;nonmagicalres;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu;unconsciousimmu,Darkvision 60,Any,1,Incorporeal Movement;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,1,0
Sphinx;Andro,Large,Monstrosity,LN,17,199,40;fly 60,22,10,20,16,18,23,DEX;CON;INT;WIS,Arcana;Perception;Religion,Psychicimmu;nonmagicalimmu;charmedimmu;frightenedimmu,Truesight 120,Common;Own,17,Inscrutable;Magic Weapons;Normal Spellcasting;Lair;Legendary,Monster Manual,NA,Wizards of the Coast,Other,1,0
Sphinx;Gyno,Large,Monstrosity,LN,17,136,40;fly 60,18,15,16,18,18,18,None,Arcana;History;Perception;Religion,Nonmagicalres;psychicimmu;charmedimmu;frightenedimmu,Truesight 120,Common;Own,11,Inscrutable;Magic Weapons;Normal Spellcasting;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Spore Servant Template,TEMP,Plant,U,TEMP,TEMP,TEMP,17,12,16,2,6,1,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,,Monster Manual,NA,Wizards of the Coast,Other,0,0
Sprite,Tiny,Fey,NG,15,2,10;fly 40,3,18,10,14,13,11,None,Perception;Stealth,None,Normal,Common;Elvish;Sylvan,0.25,None,Monster Manual,NA,Wizards of the Coast,Feywild,1,0
Star Spawn Grue,Small,Aberration,NE,11,17,30,6,13,10,9,11,6,None,None,Psychicimmu,Darkvision 60,Deep Speech,0.25,Aura of Madness,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Star Spawn Hulk,Large,Aberration,CE,16,136,30,20,8,21,7,12,9,DEX;WIS,Perception,Nonmagicalres;charmedimmu;frightenedimmu,Darkvision 60,Deep Speech,10,Psychic Mirror,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Star Spawn Larva Mage,Medium,Aberration,CE,16,168,30,17,12,23,18,12,16,DEX;WIS;CHA,Perception,Coldres;nonmagicalres;psychicimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;restrainedimmu,Darkvision 60,Deep Speech,16,Innate Spellcasting;Return to Worms;Legendary,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Star Spawn Mangler,Medium,Aberration,CE,14,71,40;climb 40,8,18,12,11,12,7,DEX;CON,Stealth,Coldres;psychicimmu;charmedimmu;frightenedimmu;proneimmu,Darkvision 60,Deep Speech,5,Ambusher;Shadow Stealth,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Star Spawn Seer,Medium,Aberration,NE,17,153,30,14,12,18,22,19,16,DEX;INT;WIS;CHA,Perception,Coldres;nonmagicalres;psychicimmu;charmedimmu;frightenedimmu,Darkvision 60,Common;Deep Speech;Undercommon,13,Out-of-Phase Movement,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Steeder;Female,Large,Monstrosity,U,14,30,30;climb 30,15,16,14,2,10,3,None,Perception;Stealth,None,Darkvision 120,None,1,Spider Climb;Extraordinary Leap,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Steeder;Male,Medium,Monstrosity,U,12,13,30;climb 30,15,12,14,2,10,3,None,Stealth;Perception,None,Darkvision 120,None,0.25,Spider Climb;Extraordinary Leap,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Steel Predator,Large,Construct,LE,20,207,40,24,17,22,4,14,6,None,Perception;Stealth;Survival,Coldres;lightningres;necroticres;thunderres;poisonimmu;psychicimmu;nonmagicalimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;stunnedimmu,Blindsight 30;darkvision 60,Modron;Any,16,Innate Spellcasting;Magic Resistance;Magic Weapons,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Stirge,Tiny,Beast,U,14,2,10;fly 40,4,16,11,2,8,6,None,None,None,Darkvision 60,None,0.13,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Stone Cursed,Medium,Construct,LE,17,19,10,16,5,14,5,8,7,None,None,Bludgeoningweak;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;petrifiedimmu;poisonedimmu,Normal,Any,1,Cunning Opportunist;False Appearance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Stone Juggernaut,Large,Construct,U,15,157,50,22,1,21,2,11,3,None,None,Poisonimmu;nonmagicalimmu;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu,Blindsight 120,None,12,Devastating Roll;Immutable Form;Regeneration;Siege Monster,Tomb of Annihilation,NA,Wizards of the Coast,Other,0,0
